,0
0,0.8199851642314632
1,0.8742173769457139
2,0.8499232233162758
3,0.8249798244593682
4,0.8364767064754292
5,0.7764698838587324
6,0.8458419208682881
7,0.8720989230413547
8,0.8417607087419678
9,0.6702772316484358
10,0.8325050909146412
11,0.842087586484991
12,0.8044812061806579
13,0.6320503978882293
14,0.8743455863375554
15,0.8522528076115178
16,0.8272631511194735
17,0.8468051265847197
18,0.8777953873761711
19,0.8352880783915628
20,0.8861701589040515
21,0.8574750453534066
22,0.8227511328848586
23,0.863095607926655
24,0.8345579662813536
25,0.8579007845905592
26,0.642544259027118
27,0.7626824913931347
28,0.8326783893729408
29,0.8853945384920101
30,0.8605939663898592
31,0.8479093051191091
32,0.8743332907950346
33,0.8460425096568551
34,0.7544773213792486
35,0.8466518416438253
36,0.6436642962833266
37,0.852916261773338
38,0.8747595088237279
39,0.8054042821490134
40,0.6623903933059723
41,0.8481832071528175
42,0.840757041163454
43,0.8232423895921535
44,0.8803076049288665
45,0.8459345694127361
46,0.8776893585328578
47,0.8530287996873477
48,0.8429423037292779
49,0.7766493407556206
50,0.8461108759533241
51,0.8432310712743993
52,0.8481625801180136
53,0.7873477919495367
54,0.8475191846981353
55,0.8492567963345479
56,0.6373151265532462
57,0.8673506740867222
58,0.8543453458004097
59,0.7985642487357303
60,0.8946400965534235
61,0.8286165699788287
62,0.6477792084566185
63,0.8195636152688018
64,0.7901913258194517
65,0.8303401520456769
66,0.8454512010047308
67,0.8307035398524031
68,0.8527195247490849
69,0.8651799249642995
70,0.8617014710404626
71,0.8405237292003267
72,0.7956554792526289
73,0.8476509983402718
74,0.8426007884975244
75,0.8522964907857788
76,0.8620963243413879
77,0.6611661162269329
78,0.8549551895119374
79,0.8215649547307203
80,0.826204166825433
81,0.841296904619437
82,0.8382732744091042
83,0.841877285626699
84,0.6377184771006048
85,0.8514662436990028
86,0.8412744899890809
87,0.8513625566034088
88,0.8986729865057271
89,0.7952200247391326
90,0.8237293014394884
91,0.8153056590186865
92,0.8430329992366985
93,0.87690189191418
94,0.8724185221868427
95,0.8278573728667842
96,0.8566916558998761
97,0.7787821585261351
98,0.8591627005751109
99,0.6279330933752223
