,values
area_harvested,57.0
aridity,8.0
extreme_heat,5.0
tonnes_grapes_harvested,113.0
petrol_vineyard,17.0
temperature_mean,6.0
lpg_vineyard,6.0
water_used,44.0
extreme_cold,8.0
elev_Min ‡,1.0
elev_Median,1.0
diesel_vineyard,27.0
rainfall_mean,3.0
elev_Max,4.0
elev_Range,2.0
giregion_Cowra,6.0
cover_crops_102.56,3.0
cover_crops_13.02,1.0
cover_crops_131.617.4,16.0
cover_crops_132.0,5.0
cover_crops_141.52,18.0
cover_crops_154.0,6.0
cover_crops_156.0,21.0
cover_crops_16.052.0,4.0
cover_crops_166.0,8.0
cover_crops_185.0165.020.0,3.0
cover_crops_192.0,10.0
cover_crops_20.020.020.0,5.0
cover_crops_204.0,6.0
cover_crops_207.0,18.0
cover_crops_214.0,2.0
cover_crops_22.060.060.060.0,1.0
cover_crops_226.37,8.0
cover_crops_25.0,2.0
cover_crops_267.5,23.0
cover_crops_268.86,22.0
cover_crops_27.0160.0,4.0
cover_crops_30.4330.43,1.0
cover_crops_32.6,10.0
cover_crops_354.0,26.0
cover_crops_38.016,1.0
cover_crops_390.050.0,3.0
cover_crops_42.030.0134.0,4.0
cover_crops_44.0176.0,34.0
cover_crops_45.0,1.0
cover_crops_5.0111.89,8.0
cover_crops_51.04.080.0,4.0
cover_crops_576.0,13.0
cover_crops_590.5,42.0
cover_crops_60.057.0,4.0
cover_crops_72.0150.0110.0,8.0
cover_crops_75.3,1.0
data_year_id_2012/2013,31.0
data_year_id_2013/2014,29.0
data_year_id_2014/2015,9.0
irrigation_energy_,31.0
irrigation_type_119.021.0,1.0
irrigation_type_174.0,1.0
irrigation_type_20.020.0160.0,14.0
irrigation_type_202.0,24.0
irrigation_type_21.917.4,1.0
irrigation_type_255.0,31.0
irrigation_type_266.0,11.0
irrigation_type_330.0,15.0
irrigation_type_342.021.012.0,9.0
irrigation_type_484.0,5.0
irrigation_type_590.0,23.0
water_type_1384.0,13.0
water_type_1406.0,1.0
water_type_1450.0,24.0
water_type_2029.49,12.0
water_type_2112.0,1.0
water_type_214.0,32.0
water_type_216.773,5.0
water_type_408.0,7.0
water_type_426.0,10.0
water_type_4284.0,6.0
water_type_4430.0,3.0
water_type_508.0,1.0
water_type_539.0,9.0
water_type_57.3,6.0
water_type_650.0,1.0
water_type_72.6268.5544.38,3.0
water_type_750.0,8.0
